source	target
Dawn it-tlitt ijim ta’ xalar u ċajt jiġu eżatt qabel ir-Randan li hu żmien ta’ sawm u astinenza meta il-poplu jħeji ruħu għall-festi tal-Ġimgħa l-Kbira.	Dawn it-tlitt ijiem ta’ xalar u ċajt jiġu eżatt qabel ir-Randan li hu żmien ta’ sawm u astinenza meta l-poplu jħejji ruħu għall-festi tal-Ġimgħa l-Kbira.
Jikkonferma jekk il-progett tal-Maghtab huwiex lest jew inkella jonqsux spiza ohra?	Jikkonferma jekk il-proġett tal-Magħtab huwiex lest jew inkella jonqsux spiża oħra?
Il-Qorti qalet li dak li kien miftiehem ma iex onorat u x-xogħol li kellu jsir baqa' ma sarx.	Il-Qorti qalet li dak li kien miftiehem ma ġiex onorat u x-xogħol li kellu jsir baqa' ma sarx.
"Il-karita tibda mid-dar izda mhux mid-dar ta' Alla."""	"Il-karità tibda mid-dar iżda mhux mid-dar ta' Alla."""
Biex ma ninkwietahiex, wara li teftift xi ħaġa, lin-nanna għedtilha li kont għajjien ħafna minħabba li dakinhar l-iskola konna lagħabna l-futbol.	Biex ma ninkwetahiex, wara li teftift xi ħaġa, lin-nanna għedtilha li kont għajjien ħafna minħabba li dakinhar l-iskola konna lgħabna l-futbol.
Il-CABS irrapporta wkoll li xi persuni li kienu mexjin f'Pembroke sabu gawwi ferut fil-gewnah tax-xellug u nghadda lid-Dipartiment tal-Veterinarju tal-Gvern.	Il-CABS irrapporta wkoll li xi persuni li kienu mexjin f'Pembroke sabu gawwi ferut fil-ġewnaħ tax-xellug u ngħadda lid-Dipartiment tal-Veterinarju tal-Gvern.
Se nrewwssaq l-ilment quddiem l-awtoritajiet koncernati	Se nressaq l-ilment quddiem l-awtoritajiet konċernati.
L-Iskema hija finanzjata mil-Gvern Federali li jipprovdi għotjiet lill-organiżżazzjonijiet diversi bbażati fil-komunità, magħrufa bħala “patronati”, biex jamministraw l-Iskema.	L-Iskema hija finanzjata mill-Gvern Federali li jipprovdi għotjiet lill-organizzazzjonijiet diversi bbażati fil-komunità, magħrufa bħala “patronati”, biex jamministraw l-Iskema.
Per eżempju, ċertu mezzi tax-xandir ma jimxux lħistess ma' kullhadd.	Pereżempju ċertu mezzi tax-xandir ma jimxux l-istess ma' kulħadd.
Jekk nħarsu lejn is-settur tas-saħħa u tal-ħidma soċjali biss, 80% ta’ dawk li jaħdmu f’dan is-settur huma nisa.	Jekk inħarsu lejn is-settur tas-saħħa u tal-ħidma soċjali biss, 80% ta’ dawk li jaħdmu f’dan is-settur huma nisa.
Amy tghid li bhalma gara lilha seta gara lil haddiehor.	Amy tgħid li bħalma ġara lilha seta ġara lil ħaddieħor.
altru ma kienx kumbinazzjoni fejn wasalna llum	Altru ma kienx kumbinazzjoni fejn wasalna llum.
Il-għaxqa tiegħu jara l-murtali li jaħdem hu jinfetħu qishom mrewħa kollha lwien f’wiċċ is-sema mudlam.	Il-għaxqa tiegħu jara l-murtali li jaħdem hu jinfetħu qishom imrewħa kollha lwien f’wiċċ is-sema mudlam.
Jidher li din mhix l-ewwel darba li l-Gvern hareg din is-sejha ghalkemm s’issa ma mpjega ebda infermiera jew qabla li rtirat.	Jidher li din mhix l-ewwel darba li l-Gvern ħareġ din is-sejħa għalkemm s’issa ma impjega ebda infermiera jew qabla li rtirat.
Din is-sezzjoni twettaq dan ix-xogħol bħala parti mid-doveri tagħha	Din is-sezzjoni twettaq dan ix-xogħol bħala parti mid-doveri tagħha.
Implimentazzjoni tar-regolamenti fis-suq lokali.	Implimentazzjoni tar-regolamenti fis-suq lokali.
Forsi kien imwerwer.	Forsi kien imwerwer.
Ha nghidilkom x'inhija d-differenza.	Ma nafx x'inhija d-differenza!
Mifsud, Dr O.	Mifsud, Dr O.
Minnflok tlajt nara l-ispettaklu li tant kont inħobb, intfajt fis-sodda tal-kamra tas-setaħ għax xejn ma ħassejtni niflaħ.	Minflok tlajt nara l-ispettaklu li tant kont inħobb, intfajt fis-sodda tal-kamra tas-setaħ għax xejn ma ħassejtni niflaħ.
Ghall-habta tas-siegha u nofs ta’ wara nofsinhar il-President Gauck jiehu sehem f’cerimonja ta’ tqeghid tal-fjuri quddiem il-monument tal-gwerra.	Għall-ħabta tas-siegħa u nofs ta’ wara nofsinhar il-President Gauck jieħu sehem f’ċerimonja ta’ tqegħid tal-fjuri quddiem il-monument tal-gwerra.
Hu ikel u flus bix-xaba u r-regħba.	Hu ikel u flus bix-xaba’ u r-regħba.
L-ilma kien nieżel gliegel mill-umbrellel u minn ma’ ħwejjiġna.	L-ilma kien nieżel gliegel mill-umbrelel u minn ma’ ħwejjiġna.
Jekk m'għadhomx, fiex inuma inhuma ingaġġati.	Jekk m'għadhomx, fiex inhuma ngaġġati?
Dun Ġwann kien jista’ jċekċek il-kuċċarina fil-kikkra huwa u jħawwad iż-żewġ kuċċarini zokkor.	Dun Ġwann kien jista’ jċekċek il-kuċċarina fil-kikkra huwa u jħawwad iż-żewġ kuċċarini zokkor.
Il-Passaport tal-Lingwa jikkumplimenta l-Europass CV u jista’ jintgħemeż miegħu.	Il-Passaport tal-Lingwa jikkumplimenta l-Europass CV u jista’ jinthemeż miegħu.
Appendiċi Struzzjonijiet dwar l-użu tat-tabella tal-awtoassessjar Il-gradilja għall-awtoassessjar hi bbażata fuq l-iskala ta’ sitt livelli tal-Qafas Komuni Ewropew ta’ Riferenza għall-Lingwi li kien żviluppat mill-Kunsill tal-Ewropa.	Appendiċi Struzzjonijiet dwar l-użu tat-tabella tal-awtoassessjar Il-gradilja għall-awtoassessjar hi bbażata fuq l-iskala ta’ sitt livelli tal-Qafas Komuni Ewropew ta’ Riferenza għal-Lingwi li kien żviluppat mill-Kunsill tal-Ewropa.
Il-Gvern se jkun qed jipprovdi finanzjament ta’ €210,000 fis-sena ghal Yachting Malta.	Il-Gvern se jkun qed jipprovdi finanzjament ta’ €210,000 fis-sena għal Yachting Malta.
Għax Dun Ġwann kien ikun qed jagħmel att ta’ karita man-nanna u mal-membri l-oħra tal-familja.	Għax Dun Ġwann kien ikun qed jagħmel att ta’ karità man-nanna u mal-membri l-oħra tal-familja.
Qatt ma' kien hemm hitan	Qatt ma kien hemm ħitan.
u tgħix kuntent! Jiddispjaċini li daħħaltek f’dan l-inkwiet kollu.	u tgħix kuntent! Jiddispjaċini li daħħaltek f’dan l-inkwiet kollu.
F’dawn l-ahhar jiem izda, professur Ingliz rega’ accerta li t-teorija ta’ Wettinger kienet wahda valida.	F’dawn l-aħħar jiem iżda, professur Ingliż reġa’ aċċerta li t-teorija ta’ Wettinger kienet waħda valida.
Ghall-maggoranza ta’ dawn il-haddiema, ma jezistux iljieli jew festi, izda huma mpenjati li joffru s-servizz taghhom kull hin u kull mument.	Għall-maġġoranza ta’ dawn il-ħaddiema, ma jeżistux iljieli jew festi, iżda huma impenjati li joffru s-servizz tagħhom kull ħin u kull mument.
Jekk iva, min ħa din id-deċiżjoni?	Jekk iva, min ħa din id-deċiżjoni?
Semma fost l-ohrajn l-involviment tieghu fl-Istrina u fir-Rockestra.	Semma fost l-oħrajn l-involviment tiegħu fl-Istrina u fir-Rockestra.
Huma jfittxu fid-dokumenti tal-ġrajja nazzjonali, fil-ħażna ta’ tagħrif dwar l-għixien soċjali, u jibnu x-xogħol tagħhom fuq is-sisien ta’ ħwejjeġ li ilhom li seħħu.	Huma jfittxu fid-dokumenti tal-ġrajja nazzjonali, fil-ħażna ta’ tagħrif dwar l-għajxien soċjali, u jibnu x-xogħol tagħhom fuq is-sisien ta’ ħwejjeġ li ilhom li seħħu.
Il-kolonna divorzjati tinkludi kemm nisa u kemm irġiel	"Il-kolonna "" Divorzjati "" tinkludi kemm nisa u kemm irġiel."
Jiena nemmen li dan il-proġett jista' jseħħ	Jiena nemmen li dan il-proġett jista' jseħħ.
Hija giet akkuzata li fit-12 t’April 2015 gewwa r-Rabat (Malta) ikkommettiet serq ta’ ammont ta’ mhux iktar minn €70 ghad-detriment ta’ zewg nisa u iktar talli b’mezz kontra l-ligi, ghamlet uzu ta’ ismijiet foloz, jew billi nqdiet b’qerq iehor, sabiex iggieghel titwemmen l-ezistenza ta’ intraprizi foloz, ghamlet qligh ta’ €10 ghad-dannu tal-istess zewg vittmi.	Hija ġiet akkużata li fit-12 t’April 2015 ġewwa r-Rabat (Malta) ikkommettiet serq ta’ ammont ta’ mhux iktar minn €70 għad-detriment ta’ żewġ nisa u iktar talli b’mezz kontra l-liġi, għamlet użu ta’ ismijiet foloz, jew billi nqdiet b’qerq ieħor, sabiex iġġiegħel titwemmen l-eżistenza ta’ intrapriżi foloz, għamlet qligħ ta’ €10 għad-dannu tal-istess żewġ vittmi.
leħen jgħajjat fid-deżert!” 9/9.	leħen jgħajjat fid-deżert!” 9/9.
Ħafna anzjani jagħmlu parti minn din il-kategorija.	Ħafna anzjani jagħmlu parti minn din il-kategorija.
Dan sakemm il-programm ma giex diga’ approvat minn istituzzjoni ohra rikonoxxuta minn Malta.	Dan sakemm il-programm ma ġiex diġà approvat minn istituzzjoni oħra rikonoxxuta minn Malta.
F’konferenza tal-ahbarijiet kongunta, kemm Joseph Muscat kif ukoll Matteo Renzi tkellmu dwar is-sitwazzjoni tal-Libja u l-immigrazzjoni.	F’konferenza tal-ahbarijiet konġunta, kemm Joseph Muscat kif ukoll Matteo Renzi tkellmu dwar is-sitwazzjoni tal-Libja u l-immigrazzjoni.
Il-ftehim u l-kunflitti.	Il-ftehim u l-kunflitti.
Għadek imqajjem!	Għadek imqajjem!
Min-naha tieghu, is-Sindku ta’ Calvizzano, Giuseppe Salatiello, wieghed li se jkun qieghed isegwi dan il-kaz.	Min-naħa tiegħu, is-Sindku ta’ Calvizzano, Giuseppe Salatiello, wiegħed li se jkun qiegħed isegwi dan il-każ.
Jekk inti tniżżel ħiliet iżjed milli għandek, x’aktarx li dan joħroġ waqt l-interview jew waqt iż-żmien ta’ prova.	Jekk inti tniżżel ħiliet iżjed milli għandek, x’aktarx li dan joħroġ waqt l-interview jew waqt iż-żmien ta’ prova.
Kapaċi nifhem il-punti ewlenin ta’ taħdit ċar dwar temi familjari li niltaqgħu magħhom regolarment fix-xogħol, fl-iskola, waqt il-ħin liberu, eċċ.	Kapaċi nifhem il-punti ewlenin ta’ taħdit ċar dwar temi familjari li niltaqgħu magħhom regolarment fix-xogħol, fl-iskola, waqt il-ħin liberu, eċċ.
Kemm verament se jiġbor taxxa tas-SISA l-gvern?	Kemm verament se jiġbor taxxa tas-sisa l-Gvern?
Il-pajjiż hu fl-obbligu li jipprovdi dawn is-servizzi biex tiġi assigurata aċċessibilità sħiħa u rejali għall-persuni b’diżabilità.	Il-pajjiż hu fl-obbligu li jipprovdi dawn is-servizzi biex tiġi assigurata aċċessibilità sħiħa u reali għall-persuni b’diżabilità.
Il-kontinwazzjoni tal-bini tal-akkademja tal-pulizija ġdida tibqa' prijorità.	Il-kontinwazzjoni tal-bini tal-Akkademja tal-Pulizija ġdida tibqa' prijorità.
Meta jkollna problema għandna l-ewwel nippruvaw insolvuha bil-kelma t-tajba ma’ tal-ħanut u, jekk dan ma jkunx possibbli, għandna mbagħad nikkuntattjaw lill-Uffiċċju għall-Affarijiet tal-Konsumatur għal aktar informazzjoni u assistenza.	Meta jkollna problema għandna l-ewwel nippruvaw insolvuha bil-kelma t-tajba ma’ tal-ħanut u, jekk dan ma jkunx possibbli, għandna mbagħad nikkuntattjaw lill-Uffiċċju għall-Affarijiet tal-Konsumatur għal aktar informazzjoni u assistenza.
Sa ma tlajt fuq l-ewwel tarġa, għalaqt l-umbrella u żammejtha taħt driegħi, ħriġt il-portmoni li kien inħeba qalb il-pitazzi u l-kotba fil-basket, ftaħtu u bdejt infittex il-flus żgħar – inkella stenna xi ċanfira mill-kunduttur, ċanfira mżejjna b’xi kelma mhux tant eleganti – le, mhux bil-Franċiż imma b’Malti ħamallu! Sadattant inġemgħu xi tnejn minn-nies oħra warajja, u x-xita ma taqtgħax.	Sa ma tlajt fuq l- ewwel tarġa, għalaqt l-umbrella u żammejtha taħt driegħi, ħriġt il-portmoni li kien inħeba qalb il-pitazzi u l-kotba fil-basket, ftaħtu u bdejt infittex il-flus żgħar – inkella stenna xi ċanfira mill-kunduttur, ċanfira mżejna b’xi kelma mhux tant eleganti – le, mhux bil-Franċiż imma b’Malti ħamallu! Sadattant inġemgħu xi tnejn min-nies oħra warajja, u x-xita ma taqtax.
